"Language","Language","Asia Online","Apertium","OpenLogos","Google Translate","Babel Fish","Bing Translator","GramTrans","SYSTRAN","1-800-translate","PROMT","WorldLingo","IdiomaX","SAIC Omnifluent","lingenio translate"
"To English","Arabic to English","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"To English","Catalan to English","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"To English","Chinese (Simplified) to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
"To English","Chinese (Traditional) to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"To English","Czech to English","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No"
"To English","Danish to English","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No"
"To English","Dutch to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No"
"To English","Esperanto to English","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"To English","Estonian to English","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"To English","Finnish to English","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No"
"To English","French to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"To English","Galician language to English","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No",""
"To English","German to English","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"To English","Greek to English","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No"
"To English","Haitian Creole to English","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"To English","Hebrew to English","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","No"
"To English","Hindi to English","Yes","No","No","Yes","No","Yes","No","Yes","?","No","Yes","No","No","No"
"To English","Hungarian to English","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No"
"To English","Indonesian to English","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No"
"To English","Irish to English","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"To English","Italian to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"To English","Japanese to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"To English","Korean to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"To English","Latvian to English","Yes","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","No","No"
"To English","Lithuanian to English","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"To English","Macedonian to English","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"To English","Malay to English","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"To English","Maltese to English","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"To English","Norwegian to English","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No"
"To English","Persian to English","No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"To English","Polish to English","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
"To English","Portuguese to English","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"To English","Portuguese (Brazilian) to English","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"To English","Romanian to English","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No"
"To English","Russian to English","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
"To English","Serbo-Croatian to English","No","No","No","No","No","No","No","No","?","No","No","No","No","No"
"To English","Slovak to English","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No"
"To English","Slovene to English","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No"
"To English","Spanish to English","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No"
"To English","Swedish to English","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No"
"To English","Tagalog to English","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No"
"To English","Thai to English","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No"
"To English","Turkish to English","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
"To English","Ukrainian to English","Yes","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes","No"
"To English","Welsh to English","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Language","Language","Asia Online","Apertium","OpenLogos","Google Translate","Babel Fish","Bing Translator","GramTrans","SYSTRAN","1-800-translate","PROMT","WorldLingo","IdiomaX","SAIC Omnifluent",""
"Chinese (Simplified)","English to Chinese (Simplified)","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
